Automatic,Gain,Control=Checked,IR,PA,(mA)=10,Red,PA,(mA)=10,IR,LED,Range,(mA)=51,Red,LED,Range,(mA)=51,ALC,+,FDM=Checked,Sample,Rate,(Hz)=100,Pulse,Width,(usec)=400,ADC,Range,(nA)=32768,FIFO,Rolls,on,Full=Checked,FIFO,Almost,Full=17,Sample,Averaging=1,IA,Gain=5,ECG,Gain=8,Sample,Rate=200,Adaptive,Filter=Checked,Notch,Freq=50/60,Cutoff,Freq=40
2/12/2020,54:25.5,109,543,33.93756473,23,1.437502742,-5043,-1.544040525,-4528,-1.3863604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,110,518,32.37506175,0,0,-5134,-1.57190245,-4282,-1.31104135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,111,552,34.5000658,21,1.312502503,-5675,-1.737543125,-4137,-1.266645975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,112,483,30.18755758,0,0,-5813,-1.779795275,-4141,-1.267870675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,113,545,34.06256497,0,0,-5304,-1.6239522,-4148,-1.2700139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,114,545,34.06256497,23,1.437502742,-5463,-1.672634025,-4205,-1.287465875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,115,518,32.37506175,0,0,-5675,-1.737543125,-4249,-1.300937575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,116,553,34.56256592,21,1.312502503,-5162,-1.58047535,-4071,-1.246438425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,117,479,29.9375571,0,0,-5489,-1.680594575,-3724,-1.1401957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,118,546,34.12506509,0,0,-5671,-1.736318425,-3474,-1.06365195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,119,541,33.81256449,23,1.437502742,-5480,-1.677839,-3429,-1.049874075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,120,517,32.31256163,0,0,-5203,-1.593028525,-3524,-1.0789607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,121,551,34.43756568,20,1.250002384,-5447,-1.667735225,-3783,-1.158260025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,122,482,30.12505746,0,0,-5740,-1.7574445,-4095,-1.253786625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,123,545,34.06256497,0,0,-5530,-1.69314775,-4284,-1.3116537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,124,541,33.81256449,22,1.375002623,-6205,-1.899815875,-4456,-1.3643158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,125,520,32.50006199,0,0,-6588,-2.0170809,-4658,-1.42616315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,126,553,34.56256592,21,1.312502503,-5662,-1.73356285,-4772,-1.4610671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,127,483,30.18755758,0,0,-5818,-1.78132615,-4862,-1.48862285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,128,549,34.31256545,0,0,-5924,-1.8137807,-5063,-1.550164025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,129,541,33.81256449,23,1.437502742,-5547,-1.698352725,-5294,-1.62089045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,130,520,32.50006199,0,0,-5124,-1.5688407,-5435,-1.664061125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,131,553,34.56256592,21,1.312502503,-5362,-1.64171035,-5550,-1.69927125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,132,484,30.2500577,0,0,-5484,-1.6790637,-5648,-1.7292764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,133,548,34.25006533,0,0,-5191,-1.589354425,-5651,-1.730194925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,134,541,33.81256449,23,1.437502742,-5764,-1.7647927,-5623,-1.721622025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.6,135,520,32.50006199,0,0,-5865,-1.795716375,-5588,-1.7109059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
